"[1] [1] (17 August 1926 - 30 November 2022) was a Chinese politician who served as general secretary of the Chinese Communist Party (CCP) from 1989 to 2002, as chairman of the Central Military Commission from 1989 to 2004, and as president of China from 1993 to 2003. He represented the ""[2] of the [3] generation"" of CCP leaders. His contributions to party doctrine, known as the ""[4] [4]"", were written into the CCP constitution in 2002.","1 - Jiang Zemin
2 - core
3 - third
4 - Three Represents",,Jiang Zemin,,https://en.wikipedia.org/wiki/Jiang_Zemin
"[1] [1] (born 21 December 1942) is a Chinese politician who served as general secretary of the Chinese Communist Party (CCP) from 2002 to 2012, president of the People's Republic of China (PRC) from 2003 to 2013, and chairman of the Central Military Commission (CMC) from 2004 to 2012. He sought to improve socio-economic equality domestically through the [2] [2] [2] [2], which aimed to build a ""Harmonious Socialist Society"" that was prosperous and free of social conflict.","1 - Hu Jintao
2 - Scientific Outlook on Development",,Hu Jintao,,https://en.wikipedia.org/wiki/Hu_Jintao
"The Tiananmen Square protests were precipitated by the death of pro-reform Chinese Communist Party (CCP) general secretary [1] [1] in April 1989 amid the backdrop of rapid economic development and social change in post-Mao China, reflecting anxieties among the people and political elite about the country's future.",1 - Hu Yaobang,,1989 Tiananmen Square protests and massacre,,https://en.wikipedia.org/wiki/1989_Tiananmen_Square_protests_and_massacre
Dragon Ball is a Japanese media franchise created by Akira [1] in 1984.,1 - Toriyama,,Dragon Ball,,https://en.wikipedia.org/wiki/Dragon_Ball
"A [1] [1] of light casts only a simple shadow, called an ""[2]"".","1 - point source
2 - umbra",,Shadow,,https://en.wikipedia.org/wiki/Shadow
"For a non-point or ""[1]"" source of light, the shadow is divided into the [2], [3], and [4].","1 - extended
2 - umbra
3 - penumbra
4 - antumbra",,Shadow,"For earth's shadow from sun, umbra is complete block of light, penumbra is at side where partial block/eclipse occurs, and antumbra is when earth is entirely inside the sun (i.e. from far enough back)",https://en.wikipedia.org/wiki/Shadow
"The game developed in [1] [1] from the earlier game of [2] and shuttlecock. European play came to be dominated by [3] but the game has become very popular in Asia, with recent competitions dominated by China (as of 2022).","1 - British India
2 - battledore
3 - Denmark",,Badminton,,https://en.wikipedia.org/wiki/Badminton
"In [1], Denmark joined Norway and Sweden to form the [2] [2], a [3] [3], under [4] [4] [4], which persisted until [5]'s secession in [6].","1 - 1397
2 - Kalmar Union
3 - personal union
4 - Queen Margaret I
5 - Sweden
6 - 1523","2 - name
3 - combination of 2+ states with same monarch but different boundaries, laws, and interests
4 - who?
5 - which country",Denmark,"if states share at least some limited govenrmental institutions, it's a real union",https://en.wikipedia.org/wiki/Denmark
"Modern physical cosmology is dominated by the Big Bang theory, which attempts to bring together observational astronomy and particle physics; more specifically, a standard parameterization of the Big Bang with dark matter and dark energy, known as the [1]-[1] model.",1 - Lambda-CDM,,Cosmology,,https://en.wikipedia.org/wiki/Cosmology
"[1] [1] [1] (c. 310 - c. 230 BCE) was an ancient Greek astronomer and mathematician who presented the first known heliocentric model that placed the Sun at the center of the known universe, with the Earth revolving around the Sun once a year and rotating about its axis once a day.",1 - Aristarchus of Samos,,Aristarchus of Samos,,https://en.wikipedia.org/wiki/Aristarchus_of_Samos
"[1] (c. 190 - c. 120 BC) was a Greek astronomer, geographer, and mathematician. He is considered the founder of trigonometry, but is most famous for his incidental discovery of the [2] of the [3].","1 - Hipparchus
2 - precession
3 - equinoxes",,Hipparchus,"Hipparchus is considered the greatest ancient astronomical observer and, by some, the greatest overall astronomer of antiquity.

Precession of the equinoxes was the historical name, usual name is axial precession",https://en.wikipedia.org/wiki/Hipparchus
Babylonia was an ancient [1]-speaking state and cultural area based in central-southern Mesopotamia (present-day Iraq and parts of Syria).,1 - Akkadian,,Babylonia,,https://en.wikipedia.org/wiki/Babylonia
"The Neapolitan [1], the Calabrian [2], the Apulian [3] [3] [3], and the [4] [4] (also known as the ""fifth mafia"") are similar Italian organized gangs to the Sicilian Cosa Nostra.","1 - Camorra
2 - 'Ndrangheta
3 - Sacra Corona Unita
4 - Società foggiana",,Gang,,https://en.wikipedia.org/wiki/Gang
"The [1] River delineates much of Oregon's northern boundary with [2], while the [3] River delineates much of its eastern boundary with [4]. The [5] [5] [5] delineates the southern boundary with [6] and [7].","1 - Columbia
2 - Washington
3 - Snake
4 - Idaho
5 - 42° north parallel
6 - California
7 - Nevada",,Oregon,,https://en.wikipedia.org/wiki/Oregon
"As early as 1564, the Spanish began sending vessels northeast from the Philippines to explore Oregon's Pacific coast, riding the [1] [1] in a sweeping circular route across the northern part of the Pacific.",1 - Kuroshio Current,,Oregon,also known as the Black/Japan Current or the Black Stream,https://en.wikipedia.org/wiki/Oregon
"Oregon's only national park, [1] [1] National Park, comprises the caldera surrounding [1] [1], the deepest lake in the United States.",1 - Crater Lake,,Oregon,,https://en.wikipedia.org/wiki/Oregon
