"On 27 October [1], [2] Film Company established Hollywood's first permanent film studio. The California weather allowed for year-round filming. In [3], [4] [4] was formed, merging [1] and several other motion picture companies, including [5] [5] [5] (IMP).","1 - 1911
2 - Nestor
3 - 1912
4 - Universal Studios
5 - Independent Moving Pictures",,Film industry,,https://en.wikipedia.org/wiki/Film_industry
"[1] is the birthplace of cinema and was responsible for many of its significant contributions to the art form and the film-making process itself. Several important cinematic movements, including the [2] [2], began in the country.","1 - France
2 - Nouvelle Vague",2 - 58 to late 60s,Film industry,,https://en.wikipedia.org/wiki/Film_industry
"Cinema was introduced in China in 1896 and the first Chinese film, [1] [1], was made in 1905, with the film industry being centered on [2] in the first decades.","1 - Dingjun Mountain
2 - Shanghai",,Film industry,,https://en.wikipedia.org/wiki/Film_industry
"One of the greatest auteurs of film-making, [1] [1] is celebrated for works including The Apu Trilogy (1955-1959), The Music Room (1958), The Big City (1963) and Charulata (1964), and is from [2].","1 - Satyajit Ray
2 - India",,Satyajit Ray,,https://en.wikipedia.org/wiki/Satyajit_Ray
"Although the advent of film as an artistic medium is not clearly defined, the commercial, public screening of ten of the [1] [1] short films in [2] on 28 December [3] can be regarded as the breakthrough of projected cinematographic motion pictures.","1 - Lumière brothers'
2 - Paris
3 - 1895","1 - who?
2 - city",History of film,,https://en.wikipedia.org/wiki/History_of_film
"There had been earlier cinematographic results and screenings by others like the [1] brothers, who used their self-made Bioscop to display the first moving picture show to a paying audience on 1 November 1895 in Berlin, but they lacked either the quality, financial backing, stamina or the luck to find the momentum that propelled the cinématographe Lumière into a worldwide success.",1 - Skladanowsky,,History of film,,https://en.wikipedia.org/wiki/History_of_film
"Special effects became a feature in movies since the late [1]s, popularized by [2] [2] fantasy films.","1 - 1890
2 - Georges Méliès'","1 - decade
2 - who?",History of film,Many effects were impossible or impractical to perform in theater plays and thus added more magic to the experience of movies. ,https://en.wikipedia.org/wiki/History_of_film
"Technical improvements added length (reaching 60 minutes for a feature film in [1]), synchronized sound recording (mainstream since the end of the [2]s), color (mainstream since the [3]s) and 3D (temporarily popular in the early [4]s and mainstream since the [5]s).","1 - 1906
2 - 1920
3 - 1930
4 - 1950
5 - 2000",2 to 5 all decades,History of film,,https://en.wikipedia.org/wiki/History_of_film
"The term ""[1] [1] [1] [1]"", or ""[2] [2]"", refers to a [3]-year period ([4]) in commercial American pornography, in which sexually explicit films experienced positive attention from mainstream cinemas, movie critics, and the general public.","1 - Golden Age of Porn
2 - porno chic
3 - 15
4 - 1969–1984",,Golden Age of Porn,,https://en.wikipedia.org/wiki/Golden_Age_of_Porn
"[1] and [2] Lumière invented the [3]. Their [4] [4] [4] [4] [4] [4] [4] [4] was, contrary to myth, not shown at the Lumières' first public film screening, but is famous for its train coming at the screen shot.","1 - Auguste
2 - Louis
3 - cinématographe
4 - L'Arrivée d'un train en gare de La Ciotat",,Film industry,,https://en.wikipedia.org/wiki/Film_industry
"The first full-length feature film to be made was the 1906 [1] silent [2] [2] [2] [2] [2] [2], an account of the notorious gang led by [3] [3]. It ran for 80 minutes and was the origin point of the [4] genre.","1 - Australian
2 - The Story of the Kelly Gang
3 - Ned Kelly
4 - bushranger",1 - of a country,Film industry,"It was directed and produced by the Melburnians Dan Barry and Charles Tait.

Australian Western, also known as meat pie Western or kangaroo Western, is a broad genre of Western-style films or TV series set in the Australian outback or ""the bush"". Films about bushrangers (sometimes called bushranger films) are included in this genre.",https://en.wikipedia.org/wiki/Film_industry
"In the early 1910s, the film industry had fully emerged with [1] [1] [1]'s [2] [2] [2] [2] [2], one of the most controversial films ever made in the United States.","1 - D. W. Griffith
2 - The Birth of a Nation",,Film industry,,https://en.wikipedia.org/wiki/Film_industry
"She was one of the first filmmakers to make a narrative fiction film, as well as the first woman to direct a film.",Alice Guy-Blaché (or Alice Guy),,Alice Guy-Blaché,,https://en.wikipedia.org/wiki/Alice_Guy-Blach%C3%A9
"[1] [1] founded the world’s first and oldest film studio [2] [2] [2], and worked in partnership with Solax Studios.","1 - Léon Gaumont
2 - Gaumont Film Company",,Léon Gaumont,,https://en.wikipedia.org/wiki/L%C3%A9on_Gaumont
"In 1900, [1] [1] began film production under the [2]-[2] brand, with Ferdinand [3] hired to actually make the films. By 1905, [4] was the largest film company in the world, a position it retained until World War I.","1 - Charles Pathé
2 - Pathé-Frères
3 - Zecca
4 - Pathé",,Film industry,,https://en.wikipedia.org/wiki/Film_industry
