"Iran is home to one of the world's oldest civilizations, beginning with the formation of the [1] kingdoms in the [2] [2] [2].","1 - Elamite
2 - fourth millennium BC","2 - ordinal, period, calendar era",Iran,,https://en.wikipedia.org/wiki/Iran
"Iran was first unified by the [1], an ancient Iranian people, in the [2] century BC, and reached its territorial height in the [3] century BC, when [4] [4] [4] founded the [5] [5] Empire, which became one of the largest empires in history and a superpower.","1 - Medes
2 - seventh
3 - sixth
4 - Cyrus the Great
5 - Achaemenid Persian",,Iran,and was the largest empire in history at the time,https://en.wikipedia.org/wiki/Iran
The Achaemenid Empire fell to [1] [1] [1] in the [2] century BC and was subsequently divided into several [3] states.,"1 - Alexander the Great
2 - fourth
3 - Hellenistic",,Iran,,https://en.wikipedia.org/wiki/Iran
"An Iranian rebellion established the [1] Empire in the [2] century [3], which was succeeded in the [4] century [5] by the [6] Empire, a major world power for the next four centuries.","1 - Parthian
2 - third
3 - BC
4 - third
5 - AD
6 - Sassanid",3 & 5 - calendar eras,Iran,,https://en.wikipedia.org/wiki/Iran
"Iran's official New Year begins with [1], an ancient Iranian tradition celebrated annually on the [2] [2]. It is enjoyed by people adhering to different religions, but is considered a holiday for the [3].","1 - Nowruz
2 - vernal equinox
3 - Zoroastrians",,Iran,,https://en.wikipedia.org/wiki/Iran
"Spiders (order [1]) are air-breathing [2] that have eight legs, [3] with fangs generally able to inject venom, and [4] that [5] silk.","1 - Araneae
2 - arthropods
3 - chelicerae
4 - spinnerets
5 - extrude","2 - from name of phylum
5 - verb",Spider,,https://en.wikipedia.org/wiki/Spider
"[1], the ancient [2] goddess of weaving, was envisioned as a spider spinning her web.","1 - Uttu
2 - Sumerian",,Spider,,https://en.wikipedia.org/wiki/Spider
"A [1] is a small, low-elevation, sandy island on the surface of a coral reef.",1 - cay,,Cay,also spelled caye or key,https://en.wikipedia.org/wiki/Cay
"Since the [1] [1], the United States gained a major influence on most Caribbean nations. In the early part of the 20th century this influence was extended by participation in the [2] [2].","1 - Monroe Doctrine
2 - Banana Wars",1 - a policy,Caribbean,,https://en.wikipedia.org/wiki/Caribbean
"The Banana Wars were a series of conflicts that consisted of military occupation, police action, and intervention by the United States in Central America and the Caribbean between the end of the [1]-[1] War in [2] and the inception of the [3] [3] [3] in [4].","1 - Spanish–American
2 - 1898
3 - Good Neighbor Policy
4 - 1934",2 & 4 - years,Banana Wars,,https://en.wikipedia.org/wiki/Banana_Wars
"The [1] climate classification is one of the most widely used climate classification systems. It was first published by German-Russian climatologist [2] [2] (1846-1940) in 1884, with several later modifications by [1], notably in 1918 and 1936. Later, the climatologist [3] [3] (1894-1981) introduced some changes to the classification system, which is thus sometimes called the [4]-[4] climate classification system.","1 - Köppen
2 - Wladimir Köppen
3 - Rudolf Geiger
4 - Köppen-Geiger",,Köppen climate classification,,https://en.wikipedia.org/wiki/K%C3%B6ppen_climate_classification
"The Köppen climate classification divides climates into five main climate groups, with each group being divided based on seasonal [1] and [2] patterns. The five main groups are A ([3]), B ([4]), C ([5]), D ([6]), and E ([7]).","1 - precipitation
2 - temperature
3 - tropical
4 - arid
5 - temperate
6 - continental
7 - polar",,Köppen climate classification,,https://en.wikipedia.org/wiki/K%C3%B6ppen_climate_classification
"After the removal of [1] [1] [1] by [2] [2] in [3], the German empire embarked on [4] (""world politics"").","1 - Otto von Bismarck
2 - Wilhelm II
3 - 1890
4 - Weltpolitik",,German Empire,,https://en.wikipedia.org/wiki/German_Empire
"The German Empire was the period of the German Reich from the [1] of Germany in [2] until the [3] [3] in [4], when the German Reich changed its form of government from a [5] to a [6].","1 - unification
2 - 1871
3 - November Revolution
4 - 1918
5 - monarchy
6 - republic",2 & 4 - years#,German Empire,"also referred to as Imperial Germany, the Kaiserreich, the Second Reich, as well as simply Germany",https://en.wikipedia.org/wiki/German_Empire
"It is situated in the western Pacific Ocean and consists of around [1],641 islands that are broadly categorized under three main geographical divisions from north to south: [2], [3], and [4].","1 - 7
2 - Luzon
3 - Visayas
4 - Mindanao",,Philippines,,https://en.wikipedia.org/wiki/Philippines
"[1] [1] (June 19, 1861 - December 30, 1896) was a Filipino nationalist, writer and polymath active at the end of the [2] colonial period of the Philippines. He is considered the national hero (pambansang bayani) of the Philippines.","1 - José Rizal
2 - Spanish",,José Rizal,,https://en.wikipedia.org/wiki/Jos%C3%A9_Rizal
